"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\joshi\Documents\raw-stats-practice\about.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\joshi\Documents\raw-stats-practice\backend\config\connection.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\joshi\Documents\raw-stats-practice\backend\controllers\collegeController.js", "JavaScript", 0, 0, 0, 10, 0, 0, 2, 3, 15
"c:\Users\joshi\Documents\raw-stats-practice\backend\controllers\playerController.js", "JavaScript", 0, 0, 0, 54, 0, 0, 3, 10, 67
"c:\Users\joshi\Documents\raw-stats-practice\backend\controllers\positionController.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 2, 9
"c:\Users\joshi\Documents\raw-stats-practice\backend\controllers\statsController.js", "JavaScript", 0, 0, 0, 101, 0, 0, 6, 21, 128
"c:\Users\joshi\Documents\raw-stats-practice\backend\controllers\userController.js", "JavaScript", 0, 0, 0, 121, 0, 0, 72, 32, 225
"c:\Users\joshi\Documents\raw-stats-practice\backend\data\data.js", "JavaScript", 0, 0, 0, 58, 0, 0, 1, 3, 62
"c:\Users\joshi\Documents\raw-stats-practice\backend\data\players.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joshi\Documents\raw-stats-practice\backend\http-server.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 4, 52
"c:\Users\joshi\Documents\raw-stats-practice\backend\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joshi\Documents\raw-stats-practice\backend\middleware\errorHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\College.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\Player.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 3, 70
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\PlayerCollege.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\PlayerPosition.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\Position.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\User.js", "JavaScript", 0, 0, 0, 43, 0, 0, 7, 7, 57
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\UserStats.js", "JavaScript", 0, 0, 0, 32, 0, 0, 7, 8, 47
"c:\Users\joshi\Documents\raw-stats-practice\backend\models\index.js", "JavaScript", 0, 0, 0, 23, 0, 0, 2, 6, 31
"c:\Users\joshi\Documents\raw-stats-practice\backend\package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\joshi\Documents\raw-stats-practice\backend\routes\collegeRoutes.js", "JavaScript", 0, 0, 0, 8, 0, 0, 6, 3, 17
"c:\Users\joshi\Documents\raw-stats-practice\backend\routes\playerRoutes.js", "JavaScript", 0, 0, 0, 15, 0, 0, 15, 7, 37
"c:\Users\joshi\Documents\raw-stats-practice\backend\routes\positionRoutes.js", "JavaScript", 0, 0, 0, 7, 0, 0, 8, 3, 18
"c:\Users\joshi\Documents\raw-stats-practice\backend\routes\userRoutes.js", "JavaScript", 0, 0, 0, 13, 0, 0, 20, 8, 41
"c:\Users\joshi\Documents\raw-stats-practice\backend\routes\userStatsRoutes.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 5, 14
"c:\Users\joshi\Documents\raw-stats-practice\backend\seeds\seed.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\joshi\Documents\raw-stats-practice\backend\seeds\seeddata.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\joshi\Documents\raw-stats-practice\backend\server.js", "JavaScript", 0, 0, 0, 34, 0, 0, 1, 6, 41
"c:\Users\joshi\Documents\raw-stats-practice\contact.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joshi\Documents\raw-stats-practice\frontend\admin\stats-review.html", "HTML", 0, 0, 50, 0, 0, 0, 4, 11, 65
"c:\Users\joshi\Documents\raw-stats-practice\frontend\index.html", "HTML", 0, 0, 48, 0, 0, 0, 2, 8, 58
"c:\Users\joshi\Documents\raw-stats-practice\frontend\login.html", "HTML", 0, 0, 61, 0, 0, 0, 2, 9, 72
"c:\Users\joshi\Documents\raw-stats-practice\frontend\package.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 1, 15
